NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
201501010100; 42005.04166667;  4.379;  0.096;    297;  4.564;  4.286;    1; 23.738;  0.168;    297; 24.173; 23.622;    1 
201501010200; 42005.08333333;  4.611;  0.060;    297;  4.750;  4.518;    1; 24.267;  0.142;    297; 24.604; 24.091;    1 
201501010300; 42005.12500000;  4.982;  0.229;    296;  5.354;  4.704;    1; 25.204;  0.517;    296; 25.957; 24.535;    1 
201501010400; 42005.16666667;  5.494;  0.125;    297;  5.680;  5.261;    1; 26.453;  0.245;    297; 26.786; 25.884;    1 
201501010500; 42005.20833333;  5.447;  0.073;    297;  5.634;  5.308;    1; 26.614;  0.195;    297; 27.026; 26.249;    1 
201501010600; 42005.25000000;  5.540;  0.064;    297;  5.680;  5.401;    1; 26.861;  0.126;    297; 27.144; 26.657;    1 
201501010700; 42005.29166667;  5.308;  0.149;    297;  5.494;  4.936;    1; 26.367;  0.333;    297; 26.695; 25.573;    1 
201501010800; 42005.33333333;  4.843;  0.085;    297;  4.982;  4.704;    1; 25.356;  0.212;    297; 25.645; 24.976;    1 
201501010900; 42005.37500000;  4.750;  0.058;    296;  4.889;  4.657;    1; 24.940;  0.152;    296; 25.265; 24.720;    1 
201501011000; 42005.41666667;  4.750;  0.030;    297;  4.796;  4.657;    1; 24.813;  0.066;    297; 24.929; 24.651;    1 
201501011100; 42005.45833333;  4.564;  0.095;    297;  4.796;  4.472;    1; 24.220;  0.239;    297; 24.778; 24.010;    1 
201501011200; 42005.50000000;  4.564;  0.030;    297;  4.611;  4.472;    1; 24.173;  0.067;    297; 24.336; 24.057;    1 
201501011300; 42005.54166667;  4.611;  0.030;    296;  4.704;  4.564;    1; 24.348;  0.050;    296; 24.511; 24.267;    1 
201501011400; 42005.58333333;  4.750;  0.037;    297;  4.843;  4.657;    1; 24.651;  0.092;    297; 24.894; 24.442;    1 
201501011500; 42005.62500000;  4.843;  0.063;    297;  5.029;  4.750;    1; 24.976;  0.160;    297; 25.447; 24.824;    1 
