NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
201701010100; 42736.04166667;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010200; 42736.08333333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010300; 42736.12500000;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010400; 42736.16666667;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010500; 42736.20833333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010600; 42736.25000000;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010700; 42736.29166667;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010800; 42736.33333333;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701010900; 42736.37500000;    NaN;    NaN;    NaN;    NaN;    NaN;    9;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201701011000; 42736.41666667;  6.860;  0.211;    259;  7.000;  6.480;    1; 30.772;  0.680;    259; 31.249; 29.518;    1 
201701011100; 42736.45833333;  6.920;  0.036;    300;  7.000;  6.830;    1; 30.956;  0.133;    300; 31.214; 30.473;    1 
201701011200; 42736.50000000;  6.810;  0.068;    300;  6.900;  6.680;    1; 30.571;  0.247;    300; 30.864; 29.969;    1 
201701011300; 42736.54166667;  6.650;  0.040;    300;  6.700;  6.530;    1; 30.015;  0.189;    300; 30.410; 29.500;    1 
201701011400; 42736.58333333;  6.400;  0.067;    300;  6.550;  6.350;    1; 29.197;  0.192;    300; 29.645; 28.961;    1 
201701011500; 42736.62500000;  6.320;  0.020;    300;  6.380;  6.300;    1; 29.149;  0.072;    300; 29.371; 29.057;    1 
201701011600; 42736.66666667;  6.360;  0.025;    300;  6.400;  6.270;    1; 29.361;  0.075;    300; 29.521; 29.156;    1 
201701011700; 42736.70833333;  6.300;  0.027;    300;  6.310;  6.240;    1; 29.309;  0.082;    300; 29.340; 29.092;    1 
201701011800; 42736.75000000;  6.410;  0.056;    300;  6.460;  6.310;    1; 29.629;  0.165;    300; 29.778; 29.328;    1 
201701011900; 42736.79166667;  6.460;  0.040;    300;  6.550;  6.450;    1; 29.746;  0.123;    300; 30.069; 29.702;    1 
201701012000; 42736.83333333;  6.715;  0.106;    300;  6.920;  6.550;    1; 30.505;  0.309;    300; 31.065; 30.012;    1 
201701012100; 42736.87500000;  6.970;  0.033;    300;  7.020;  6.860;    1; 31.170;  0.089;    300; 31.375; 30.923;    1 
201701012200; 42736.91666667;  7.045;  0.104;    300;  7.120;  6.820;    1; 31.475;  0.265;    300; 31.658; 30.690;    1 
201701012300; 42736.95833333;  7.070;  0.007;    300;  7.090;  7.060;    1; 31.486;  0.036;    300; 31.612; 31.437;    1 
201701020000; 42737.00000000;  7.030;  0.024;    299;  7.070;  6.990;    1; 31.434;  0.061;    299; 31.479; 31.270;    1 
201701020100; 42737.04166667;  6.970;  0.037;    300;  6.990;  6.790;    1; 31.204;  0.067;    300; 31.310; 30.815;    1 
201701020200; 42737.08333333;  6.620;  0.071;    300;  6.790;  6.460;    1; 30.614;  0.176;    300; 30.911; 30.008;    1 
201701020300; 42737.12500000;  6.460;  0.038;    300;  6.550;  6.390;    1; 30.200;  0.130;    300; 30.386; 29.894;    1 
201701020400; 42737.16666667;  6.310;  0.068;    300;  6.410;  6.180;    1; 29.844;  0.116;    300; 30.068; 29.473;    1 
201701020500; 42737.20833333;  6.110;  0.081;    300;  6.190;  5.930;    1; 29.281;  0.263;    300; 29.635; 28.690;    1 
201701020600; 42737.25000000;  6.060;  0.028;    300;  6.080;  5.980;    1; 28.984;  0.068;    300; 29.172; 28.813;    1 
201701020700; 42737.29166667;  6.170;  0.068;    300;  6.250;  6.060;    1; 29.403;  0.204;    300; 29.641; 29.080;    1 
