NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
201001010100; 40179.04166667;  2.223;  0.150;    297;  2.681;  2.086;    1; 25.788;  0.186;    297; 26.382; 25.056;    1 
201001010200; 40179.08333333;  2.132;  0.055;    297;  2.269;  2.086;    1; 25.629;  0.158;    297; 25.967; 25.020;    1 
201001010300; 40179.12500000;  2.315;  0.100;    296;  2.452;  2.132;    1; 24.648;  0.667;    296; 25.788; 23.641;    1 
201001010400; 40179.16666667;  2.635;  0.286;    297;  3.323;  2.315;    1; 25.704;  0.839;    297; 26.824; 24.190;    1 
201001010500; 40179.20833333;  3.323;  0.214;    297;  3.553;  2.956;    1; 26.488;  0.441;    297; 27.206; 25.989;    1 
201001010600; 40179.25000000;  3.415;  0.202;    297;  3.783;  3.002;    1; 26.848;  0.422;    297; 27.793; 26.099;    1 
201001010700; 40179.29166667;  3.875;  0.108;    297;  4.106;  3.645;    1; 27.935;  0.304;    297; 28.811; 27.448;    1 
201001010800; 40179.33333333;  3.829;  0.052;    296;  3.967;  3.737;    1; 28.100;  0.105;    296; 28.460; 27.888;    1 
201001010900; 40179.37500000;  3.875;  0.149;    297;  4.244;  3.737;    1; 28.202;  0.376;    297; 29.075; 27.841;    1 
201001011000; 40179.41666667;  3.645;  0.126;    297;  3.783;  3.231;    1; 27.611;  0.307;    297; 27.880; 26.525;    1 
201001011100; 40179.45833333;  2.910;  0.131;    297;  3.231;  2.727;    1; 25.859;  0.304;    297; 26.600; 25.580;    1 
