NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200801010100; 39448.04166667;  5.654;  0.023;    297;  5.701;  5.608;    1; 29.372;  0.056;    297; 29.453; 29.209;    1 
200801010200; 39448.08333333;  5.654;  0.013;    296;  5.701;  5.608;    1; 29.290;  0.055;    296; 29.413; 29.209;    1 
200801010300; 39448.12500000;  5.654;  0.028;    297;  5.701;  5.561;    1; 29.372;  0.047;    297; 29.413; 29.168;    1 
200801010400; 39448.16666667;  5.514;  0.109;    297;  5.608;  5.235;    1; 28.842;  0.367;    297; 29.291; 28.104;    1 
200801010500; 39448.20833333;  5.235;  0.029;    297;  5.328;  5.189;    1; 28.019;  0.086;    297; 28.389; 27.898;    1 
200801010600; 39448.25000000;  5.143;  0.040;    297;  5.235;  5.050;    1; 27.770;  0.119;    297; 27.977; 27.438;    1 
200801010700; 39448.29166667;  5.003;  0.045;    296;  5.096;  4.910;    1; 27.066;  0.211;    296; 27.520; 26.776;    1 
200801010800; 39448.33333333;  4.910;  0.025;    297;  4.957;  4.864;    1; 26.732;  0.086;    297; 26.940; 26.567;    1 
200801010900; 39448.37500000;  5.050;  0.041;    297;  5.096;  4.910;    1; 27.110;  0.194;    297; 27.274; 26.694;    1 
200801011000; 39448.41666667;  5.050;  0.021;    297;  5.096;  5.003;    1; 27.274;  0.059;    297; 27.481; 27.192;    1 
