NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200901010100; 39814.04166667;  3.642;  0.164;    297;  3.965;  3.319;    1; 28.132;  0.340;    297; 28.836; 27.422;    1 
200901010200; 39814.08333333;  3.273;  0.041;    296;  3.365;  3.181;    1; 27.241;  0.118;    296; 27.596; 27.115;    1 
200901010300; 39814.12500000;  2.997;  0.229;    297;  3.273;  2.538;    1; 26.480;  0.485;    297; 27.194; 25.736;    1 
200901010400; 39814.16666667;  2.355;  0.100;    297;  2.584;  2.263;    1; 25.396;  0.150;    297; 25.812; 25.294;    1 
200901010500; 39814.20833333;  2.263;  0.112;    297;  2.584;  2.080;    1; 25.318;  0.180;    297; 25.964; 25.141;    1 
200901010600; 39814.25000000;  2.676;  0.254;    297;  2.951;  2.126;    1; 25.999;  0.352;    297; 26.382; 25.229;    1 
200901010700; 39814.29166667;  2.722;  0.238;    296;  3.227;  2.630;    1; 25.961;  0.483;    296; 27.146; 25.923;    1 
200901010800; 39814.33333333;  3.227;  0.088;    297;  3.504;  3.089;    1; 27.067;  0.245;    297; 27.908; 26.625;    1 
200901010900; 39814.37500000;  3.457;  0.270;    297;  4.196;  3.227;    1; 27.642;  0.688;    297; 29.482; 27.028;    1 
200901011000; 39814.41666667;  3.457;  0.159;    297;  3.826;  3.319;    1; 27.602;  0.378;    297; 28.531; 27.249;    1 
200901011100; 39814.45833333;  4.057;  0.141;    297;  4.288;  3.734;    1; 29.095;  0.362;    297; 29.739; 28.441;    1 
200901011200; 39814.50000000;  4.057;  0.083;    296;  4.334;  3.965;    1; 29.095;  0.207;    296; 29.825; 28.839;    1 
200901011300; 39814.54166667;  3.550;  0.309;    297;  4.149;  3.227;    1; 27.787;  0.698;    297; 29.310; 27.067;    1 
200901011400; 39814.58333333;  2.905;  0.106;    297;  3.227;  2.722;    1; 26.557;  0.202;    297; 27.059; 26.197;    1 
200901011500; 39814.62500000;  2.630;  0.042;    297;  2.768;  2.538;    1; 25.999;  0.075;    297; 26.323; 25.862;    1 
200901011600; 39814.66666667;  2.492;  0.113;    297;  2.722;  2.309;    1; 25.762;  0.173;    297; 26.175; 25.522;    1 
200901011700; 39814.70833333;  2.217;  0.083;    297;  2.355;  1.988;    1; 25.458;  0.103;    297; 25.673; 25.126;    1 
200901011800; 39814.75000000;  2.401;  0.215;    296;  2.584;  1.988;    1; 25.724;  0.265;    296; 25.900; 25.074;    1 
200901011900; 39814.79166667;  2.630;  0.312;    297;  3.411;  2.538;    1; 25.950;  0.631;    297; 27.642; 25.510;    1 
200901012000; 39814.83333333;  3.457;  0.051;    297;  3.550;  3.365;    1; 27.602;  0.156;    297; 28.000; 26.747;    1 
200901012100; 39814.87500000;  4.149;  0.330;    297;  4.288;  3.457;    1; 29.056;  0.762;    297; 29.825; 27.615;    1 
200901012200; 39814.91666667;  4.473;  0.123;    297;  4.704;  4.288;    1; 30.079;  0.355;    297; 30.796; 29.569;    1 
200901012300; 39814.95833333;  4.612;  0.097;    296;  4.704;  4.334;    1; 30.459;  0.265;    296; 30.755; 29.782;    1 
200901020000; 39815.00000000;  4.565;  0.175;    297;  4.843;  4.242;    1; 30.416;  0.435;    297; 31.385; 29.739;    1 
200901020100; 39815.04166667;  3.918;  0.365;    297;  4.473;  3.550;    1; 28.750;  0.823;    297; 30.250; 28.046;    1 
200901020200; 39815.08333333;  3.365;  0.157;    297;  3.642;  3.089;    1; 27.729;  0.367;    297; 28.392; 27.059;    1 
200901020300; 39815.12500000;  3.089;  0.047;    297;  3.135;  2.905;    1; 27.099;  0.068;    297; 27.226; 26.741;    1 
200901020400; 39815.16666667;  2.768;  0.060;    296;  2.951;  2.630;    1; 26.576;  0.096;    296; 26.955; 26.362;    1 
200901020500; 39815.20833333;  2.401;  0.101;    297;  2.722;  2.263;    1; 25.976;  0.187;    297; 26.488; 25.648;    1 
200901020600; 39815.25000000;  2.126;  0.192;    297;  2.630;  1.943;    1; 25.533;  0.311;    297; 26.429; 25.341;    1 
200901020700; 39815.29166667;  2.446;  0.048;    297;  2.538;  2.309;    1; 25.976;  0.086;    297; 26.153; 25.699;    1 
200901020800; 39815.33333333;  3.043;  0.306;    297;  3.319;  2.446;    1; 27.012;  0.517;    297; 27.542; 25.988;    1 
200901020900; 39815.37500000;  3.181;  0.106;    296;  3.365;  2.997;    1; 27.368;  0.286;    296; 27.816; 26.702;    1 
200901021000; 39815.41666667;  3.642;  0.216;    297;  3.872;  3.135;    1; 28.396;  0.453;    297; 28.961; 27.281;    1 
200901021100; 39815.45833333;  3.826;  0.050;    297;  3.918;  3.688;    1; 28.703;  0.135;    297; 29.091; 28.273;    1 
200901021200; 39815.50000000;  3.826;  0.167;    297;  4.057;  3.550;    1; 28.699;  0.401;    297; 29.395; 28.132;    1 
200901021300; 39815.54166667;  3.411;  0.263;    297;  3.642;  2.768;    1; 27.769;  0.593;    297; 28.264; 26.285;    1 
200901021400; 39815.58333333;  2.676;  0.068;    296;  2.814;  2.492;    1; 26.263;  0.076;    296; 26.537; 26.126;    1 
200901021500; 39815.62500000;  2.492;  0.046;    297;  2.584;  2.401;    1; 26.153;  0.047;    297; 26.291; 25.976;    1 
200901021600; 39815.66666667;  2.446;  0.112;    297;  2.584;  2.080;    1; 26.114;  0.112;    297; 26.357; 25.673;    1 
200901021700; 39815.70833333;  1.988;  0.091;    297;  2.217;  1.851;    1; 25.647;  0.155;    297; 26.004; 25.186;    1 
