NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
201201010100; 40909.04166667;  6.001;  0.025;    297;  6.094;  5.954;    1; 23.826;  0.102;    297; 24.106; 23.505;    1 
201201010200; 40909.08333333;  6.048;  0.025;    296;  6.094;  6.001;    1; 24.026;  0.061;    296; 24.147; 23.824;    1 
201201010300; 40909.12500000;  6.048;  0.020;    297;  6.094;  6.001;    1; 23.945;  0.338;    297; 24.067; 22.784;    1 
201201010400; 40909.16666667;  6.001;  0.024;    297;  6.094;  5.954;    1; 22.544;  0.377;    297; 23.625; 21.985;    1 
201201010500; 40909.20833333;  5.908;  0.043;    297;  6.001;  5.814;    1; 21.864;  0.115;    297; 22.101; 21.625;    1 
201201010600; 40909.25000000;  5.861;  0.044;    297;  5.908;  5.721;    1; 22.062;  0.177;    297; 22.377; 21.743;    1 
201201010700; 40909.29166667;  5.675;  0.050;    296;  5.768;  5.581;    1; 21.934;  0.134;    296; 22.297; 21.731;    1 
201201010800; 40909.33333333;  5.675;  0.024;    297;  5.721;  5.628;    1; 22.053;  0.088;    297; 22.214; 21.892;    1 
201201010900; 40909.37500000;  5.721;  0.033;    297;  5.768;  5.628;    1; 22.297;  0.094;    297; 22.458; 22.136;    1 
201201011000; 40909.41666667;  5.814;  0.026;    297;  5.861;  5.721;    1; 22.380;  0.060;    297; 22.579; 22.300;    1 
201201011100; 40909.45833333;  5.861;  0.024;    296;  5.908;  5.768;    1; 22.501;  0.029;    296; 22.579; 22.421;    1 
201201011200; 40909.50000000;  5.908;  0.048;    297;  6.048;  5.861;    1; 22.622;  0.428;    297; 23.706; 22.462;    1 
201201011300; 40909.54166667;  6.001;  0.028;    297;  6.094;  5.954;    1; 23.344;  0.234;    297; 23.745; 22.904;    1 
201201011400; 40909.58333333;  6.048;  0.023;    297;  6.094;  6.001;    1; 23.464;  0.082;    297; 23.625; 23.264;    1 
201201011500; 40909.62500000;  6.048;  0.047;    297;  6.188;  6.001;    1; 23.304;  0.171;    297; 23.585; 22.945;    1 
201201011600; 40909.66666667;  6.375;  0.068;    297;  6.468;  6.188;    1; 22.155;  0.241;    297; 22.945; 21.921;    1 
201201011700; 40909.70833333;  6.281;  0.057;    296;  6.328;  6.048;    1; 22.032;  0.098;    296; 22.309; 21.877;    1 
201201011800; 40909.75000000;  6.141;  0.094;    297;  6.375;  6.001;    1; 21.956;  0.089;    297; 22.147; 21.674;    1 
201201011900; 40909.79166667;  5.908;  0.122;    297;  6.141;  5.675;    1; 21.701;  0.275;    297; 22.106; 21.095;    1 
201201012000; 40909.83333333;  5.768;  0.041;    297;  5.814;  5.628;    1; 21.499;  0.153;    297; 21.655; 21.095;    1 
201201012100; 40909.87500000;  5.814;  0.038;    297;  5.861;  5.721;    1; 21.899;  0.209;    297; 22.219; 21.499;    1 
201201012200; 40909.91666667;  5.861;  0.021;    296;  5.908;  5.768;    1; 22.181;  0.093;    296; 22.460; 22.101;    1 
201201012300; 40909.95833333;  6.141;  0.103;    297;  6.234;  5.861;    1; 23.384;  0.264;    297; 23.624; 22.421;    1 
201201020000; 40910.00000000;  6.234;  0.033;    297;  6.281;  6.141;    1; 23.583;  0.107;    297; 23.862; 23.383;    1 
201201020100; 40910.04166667;  6.281;  0.052;    297;  6.328;  6.094;    1; 23.781;  0.144;    297; 23.981; 23.423;    1 
201201020200; 40910.08333333;  6.328;  0.028;    297;  6.375;  6.281;    1; 23.979;  0.050;    297; 24.061; 23.860;    1 
201201020300; 40910.12500000;  6.328;  0.032;    296;  6.375;  6.234;    1; 23.940;  0.050;    296; 24.061; 23.860;    1 
201201020400; 40910.16666667;  6.281;  0.029;    297;  6.328;  6.188;    1; 23.862;  0.046;    297; 23.983; 23.741;    1 
201201020500; 40910.20833333;  6.141;  0.048;    297;  6.281;  6.001;    1; 22.905;  0.363;    297; 23.903; 22.507;    1 
201201020600; 40910.25000000;  6.094;  0.024;    297;  6.141;  6.048;    1; 22.625;  0.119;    297; 22.904; 22.347;    1 
201201020700; 40910.29166667;  6.048;  0.057;    297;  6.094;  5.861;    1; 22.664;  0.168;    297; 23.024; 22.225;    1 
201201020800; 40910.33333333;  5.861;  0.038;    297;  5.908;  5.768;    1; 22.219;  0.115;    297; 22.501; 21.979;    1 
201201020900; 40910.37500000;  5.861;  0.026;    296;  5.908;  5.814;    1; 22.460;  0.067;    296; 22.540; 22.261;    1 
201201021000; 40910.41666667;  5.908;  0.036;    297;  6.001;  5.814;    1; 22.663;  0.144;    297; 22.943; 22.462;    1 
201201021100; 40910.45833333;  5.954;  0.024;    297;  6.001;  5.908;    1; 22.903;  0.039;    297; 22.943; 22.784;    1 
201201021200; 40910.50000000;  6.001;  0.047;    297;  6.141;  5.908;    1; 22.944;  0.226;    297; 23.624; 22.784;    1 
201201021300; 40910.54166667;  6.141;  0.025;    297;  6.141;  6.048;    1; 23.504;  0.089;    297; 23.664; 23.384;    1 
201201021400; 40910.58333333;  6.141;  0.019;    296;  6.188;  6.094;    1; 23.664;  0.068;    296; 23.824; 23.464;    1 
201201021500; 40910.62500000;  6.141;  0.022;    297;  6.141;  6.048;    1; 23.704;  0.039;    297; 23.785; 23.624;    1 
201201021600; 40910.66666667;  6.094;  0.031;    297;  6.141;  6.001;    1; 23.664;  0.047;    297; 23.705; 23.544;    1 
201201021700; 40910.70833333;  5.954;  0.046;    297;  6.048;  5.861;    1; 23.224;  0.213;    297; 23.665; 22.983;    1 
201201021800; 40910.75000000;  5.814;  0.052;    297;  5.954;  5.721;    1; 22.781;  0.112;    297; 23.103; 22.660;    1 
201201021900; 40910.79166667;  5.768;  0.021;    296;  5.814;  5.675;    1; 22.660;  0.066;    296; 22.740; 22.419;    1 
201201022000; 40910.83333333;  5.721;  0.023;    297;  5.768;  5.675;    1; 22.217;  0.066;    297; 22.458; 22.095;    1 
201201022100; 40910.87500000;  5.768;  0.021;    297;  5.814;  5.721;    1; 22.499;  0.086;    297; 22.660; 22.258;    1 
201201022200; 40910.91666667;  5.861;  0.034;    297;  5.908;  5.768;    1; 23.063;  0.183;    297; 23.385; 22.621;    1 
201201022300; 40910.95833333;  5.861;  0.022;    297;  5.908;  5.814;    1; 23.264;  0.055;    297; 23.385; 23.103;    1 
201201030000; 40911.00000000;  5.908;  0.026;    296;  5.908;  5.814;    1; 23.425;  0.045;    296; 23.506; 23.264;    1 
201201030100; 40911.04166667;  5.908;  0.033;    297;  5.954;  5.814;    1; 23.465;  0.059;    297; 23.586; 23.344;    1 
201201030200; 40911.08333333;  6.048;  0.079;    297;  6.188;  5.908;    1; 23.785;  0.161;    297; 24.106; 23.505;    1 
201201030300; 40911.12500000;  6.188;  0.044;    297;  6.188;  5.954;    1; 23.983;  0.082;    297; 24.065; 23.585;    1 
201201030400; 40911.16666667;  5.581;  0.171;    297;  6.001;  5.302;    1; 22.980;  0.258;    297; 23.666; 22.652;    1 
201201030500; 40911.20833333;  5.581;  0.061;    296;  5.675;  5.442;    1; 22.899;  0.118;    296; 23.182; 22.696;    1 
201201030600; 40911.25000000;  5.488;  0.035;    297;  5.581;  5.442;    1; 22.777;  0.061;    297; 22.937; 22.573;    1 
201201030700; 40911.29166667;  5.628;  0.078;    297;  5.768;  5.442;    1; 23.021;  0.084;    297; 23.102; 22.777;    1 
201201030800; 40911.33333333;  5.768;  0.046;    297;  5.814;  5.628;    1; 22.862;  0.113;    297; 23.101; 22.258;    1 
201201030900; 40911.37500000;  5.814;  0.038;    297;  5.908;  5.768;    1; 22.982;  0.097;    297; 23.224; 22.621;    1 
201201031000; 40911.41666667;  6.001;  0.067;    297;  6.141;  5.861;    1; 23.264;  0.078;    297; 23.464; 22.984;    1 
201201031100; 40911.45833333;  6.141;  0.045;    296;  6.234;  6.048;    1; 23.344;  0.056;    296; 23.464; 23.184;    1 
201201031200; 40911.50000000;  6.188;  0.026;    297;  6.281;  6.141;    1; 23.264;  0.106;    297; 23.383; 22.547;    1 
201201031300; 40911.54166667;  6.234;  0.038;    297;  6.328;  6.188;    1; 23.144;  0.074;    297; 23.383; 22.787;    1 
201201031400; 40911.58333333;  6.328;  0.055;    297;  6.515;  6.281;    1; 23.263;  0.190;    297; 23.542; 22.510;    1 
201201031500; 40911.62500000;  6.468;  0.024;    297;  6.515;  6.421;    1; 23.263;  0.160;    297; 23.382; 22.315;    1 
201201031600; 40911.66666667;  6.468;  0.018;    296;  6.515;  6.375;    1; 23.104;  0.160;    296; 23.342; 21.961;    1 
201201031700; 40911.70833333;  6.281;  0.094;    297;  6.468;  6.141;    1; 22.707;  0.254;    297; 23.303; 22.191;    1 
201201031800; 40911.75000000;  6.188;  0.046;    297;  6.328;  6.094;    1; 22.549;  0.198;    297; 22.985; 21.833;    1 
201201031900; 40911.79166667;  6.281;  0.057;    297;  6.328;  6.141;    1; 22.906;  0.294;    297; 23.184; 21.912;    1 
201201032000; 40911.83333333;  6.281;  0.028;    297;  6.328;  6.188;    1; 23.025;  0.062;    297; 23.224; 22.906;    1 
201201032100; 40911.87500000;  6.234;  0.026;    297;  6.281;  6.188;    1; 23.184;  0.083;    297; 23.423; 22.946;    1 
