NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200201010100; 37257.04166667;  5.727;  0.031;    297;  5.773;  5.635;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010200; 37257.08333333;  5.265;  0.116;    296;  5.635;  5.127;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010300; 37257.12500000;  5.127;  0.052;    297;  5.173;  4.942;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010400; 37257.16666667;  4.804;  0.035;    296;  4.942;  4.804;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010500; 37257.20833333;  4.850;  0.087;    297;  5.080;  4.850;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010600; 37257.25000000;  5.127;  0.150;    297;  5.496;  5.080;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010700; 37257.29166667;  5.727;  0.135;    296;  5.958;  5.496;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010800; 37257.33333333;  5.912;  0.035;    297;  6.051;  5.866;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201010900; 37257.37500000;  6.097;  0.021;    297;  6.144;  6.051;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011000; 37257.41666667;  6.097;  0.017;    297;  6.144;  6.051;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011100; 37257.45833333;  5.958;  0.064;    296;  6.097;  5.820;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011200; 37257.50000000;  5.820;  0.041;    297;  5.912;  5.773;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011300; 37257.54166667;  5.265;  0.162;    297;  5.773;  5.219;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011400; 37257.58333333;  5.219;  0.049;    297;  5.265;  5.127;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011500; 37257.62500000;  5.265;  0.067;    297;  5.311;  5.080;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011600; 37257.66666667;  4.850;  0.092;    296;  5.127;  4.758;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011700; 37257.70833333;  4.942;  0.122;    297;  5.219;  4.850;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011800; 37257.75000000;  5.404;  0.262;    297;  5.958;  5.173;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201011900; 37257.79166667;  6.190;  0.108;    297;  6.236;  5.958;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201012000; 37257.83333333;  6.283;  0.026;    296;  6.329;  6.190;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201012100; 37257.87500000;  6.236;  0.029;    297;  6.283;  6.190;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201012200; 37257.91666667;  6.236;  0.023;    297;  6.283;  6.236;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201012300; 37257.95833333;  6.283;  0.028;    297;  6.283;  6.190;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020000; 37258.00000000;  6.097;  0.041;    297;  6.190;  6.005;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020100; 37258.04166667;  5.588;  0.202;    296;  6.005;  5.450;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020200; 37258.08333333;  5.450;  0.057;    297;  5.542;  5.311;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020300; 37258.12500000;  5.080;  0.141;    297;  5.311;  4.896;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020400; 37258.16666667;  4.942;  0.072;    297;  5.080;  4.804;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020500; 37258.20833333;  4.666;  0.068;    297;  4.804;  4.574;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020600; 37258.25000000;  4.850;  0.134;    296;  5.080;  4.712;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020700; 37258.29166667;  5.219;  0.198;    297;  5.588;  5.080;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020800; 37258.33333333;  5.773;  0.060;    297;  5.773;  5.588;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201020900; 37258.37500000;  5.681;  0.031;    297;  5.773;  5.635;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021000; 37258.41666667;  5.727;  0.027;    282;  5.773;  5.681;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021100; 37258.45833333;  5.588;  0.074;    296;  5.727;  5.542;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021200; 37258.50000000;  5.542;  0.124;    297;  5.588;  5.219;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021300; 37258.54166667;  4.988;  0.071;    297;  5.219;  4.942;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021400; 37258.58333333;  4.942;  0.016;    297;  4.988;  4.896;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021500; 37258.62500000;  4.758;  0.081;    296;  4.896;  4.620;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021600; 37258.66666667;  4.574;  0.039;    297;  4.666;  4.528;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021700; 37258.70833333;  4.482;  0.061;    297;  4.620;  4.436;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021800; 37258.75000000;  4.436;  0.077;    297;  4.574;  4.390;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201021900; 37258.79166667;  4.574;  0.063;    297;  4.804;  4.528;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200201022000; 37258.83333333;  5.173;  0.156;    296;  5.542;  4.804;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
