NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200101010100; 36892.04166667;  3.789;  0.094;    297;  4.020;  3.697;    1; 27.427;  0.202;    297; 27.948; 27.250;    1 
200101010200; 36892.08333333;  3.651;  0.053;    297;  3.743;  3.512;    1; 27.250;  0.119;    297; 27.335; 26.854;    1 
200101010300; 36892.12500000;  3.328;  0.139;    297;  3.512;  3.052;    1; 26.618;  0.255;    297; 26.931; 25.985;    1 
200101010400; 36892.16666667;  2.684;  0.163;    296;  3.098;  2.500;    1; 25.330;  0.359;    296; 26.206; 24.780;    1 
200101010500; 36892.20833333;  2.408;  0.035;    297;  2.500;  2.362;    1; 24.677;  0.046;    297; 24.816; 24.590;    1 
200101010600; 36892.25000000;  2.408;  0.024;    297;  2.454;  2.362;    1; 24.765;  0.059;    297; 24.852; 24.677;    1 
200101010700; 36892.29166667;  2.500;  0.018;    297;  2.500;  2.454;    1; 24.954;  0.039;    297; 24.990; 24.780;    1 
200101010800; 36892.33333333;  2.500;  0.000;    296;  2.500;  2.500;    1; 24.954;  0.077;    296; 24.954; 24.780;    1 
200101010900; 36892.37500000;  2.546;  0.030;    297;  2.592;  2.500;    1; 25.005;  0.086;    297; 25.142; 24.780;    1 
200101011000; 36892.41666667;  2.592;  0.040;    297;  2.684;  2.546;    1; 25.056;  0.094;    297; 25.193; 24.918;    1 
200101011100; 36892.45833333;  2.730;  0.032;    297;  2.776;  2.684;    1; 25.257;  0.081;    297; 25.430; 25.070;    1 
200101011200; 36892.50000000;  2.684;  0.091;    297;  2.914;  2.638;    1; 25.070;  0.239;    297; 25.616; 24.983;    1 
200101011300; 36892.54166667;  2.960;  0.027;    296;  3.006;  2.914;    1; 25.628;  0.059;    296; 25.715; 25.456;    1 
200101011400; 36892.58333333;  3.328;  0.192;    297;  3.466;  2.960;    1; 26.275;  0.398;    297; 26.675; 25.456;    1 
200101011500; 36892.62500000;  3.420;  0.021;    297;  3.466;  3.420;    1; 26.418;  0.092;    297; 26.589; 26.285;    1 
200101011600; 36892.66666667;  3.420;  0.043;    297;  3.420;  3.282;    1; 26.200;  0.119;    297; 26.285; 25.884;    1 
200101011700; 36892.70833333;  3.144;  0.037;    297;  3.282;  3.098;    1; 25.738;  0.083;    297; 25.922; 25.518;    1 
200101011800; 36892.75000000;  3.098;  0.057;    296;  3.190;  3.052;    1; 25.604;  0.164;    296; 25.824; 25.260;    1 
200101011900; 36892.79166667;  3.190;  0.242;    297;  3.882;  3.144;    1; 25.738;  0.594;    297; 27.434; 25.616;    1 
200101012000; 36892.83333333;  4.066;  0.132;    297;  4.344;  3.651;    1; 27.700;  0.313;    297; 28.389; 26.778;    1 
200101012100; 36892.87500000;  4.251;  0.088;    297;  4.436;  4.113;    1; 27.964;  0.260;    297; 28.601; 27.492;    1 
200101012200; 36892.91666667;  4.807;  0.202;    297;  4.993;  4.436;    1; 29.112;  0.347;    297; 29.406; 28.396;    1 
200101012300; 36892.95833333;  4.993;  0.023;    296;  5.039;  4.993;    1; 29.323;  0.050;    296; 29.448; 29.240;    1 
200101020000; 36893.00000000;  5.132;  0.080;    297;  5.178;  4.900;    1; 29.779;  0.263;    297; 30.069; 28.949;    1 
200101020100; 36893.04166667;  5.225;  0.011;    297;  5.225;  5.178;    1; 30.110;  0.024;    297; 30.193; 29.986;    1 
200101020200; 36893.08333333;  5.225;  0.000;    297;  5.225;  5.225;    1; 30.110;  0.029;    297; 30.110; 30.027;    1 
200101020300; 36893.12500000;  5.178;  0.036;    296;  5.225;  5.039;    1; 29.986;  0.094;    296; 30.110; 29.572;    1 
200101020400; 36893.16666667;  4.575;  0.221;    297;  5.085;  4.483;    1; 28.690;  0.457;    297; 29.821; 28.396;    1 
200101020500; 36893.20833333;  4.529;  0.137;    297;  4.761;  4.251;    1; 28.483;  0.310;    297; 29.154; 27.756;    1 
200101020600; 36893.25000000;  4.113;  0.061;    297;  4.251;  4.020;    1; 27.537;  0.199;    297; 27.998; 26.811;    1 
200101020700; 36893.29166667;  3.974;  0.101;    297;  4.159;  3.835;    1; 27.271;  0.225;    297; 27.745; 27.010;    1 
200101020800; 36893.33333333;  4.205;  0.029;    296;  4.205;  4.113;    1; 27.835;  0.077;    296; 27.919; 27.706;    1 
200101020900; 36893.37500000;  4.483;  0.203;    297;  4.622;  4.113;    1; 28.520;  0.450;    297; 28.901; 27.706;    1 
200101021000; 36893.41666667;  4.622;  0.021;    297;  4.668;  4.622;    1; 28.860;  0.051;    297; 28.901; 28.734;    1 
200101021100; 36893.45833333;  4.946;  0.169;    297;  5.085;  4.622;    1; 29.448;  0.345;    297; 29.863; 28.734;    1 
200101021200; 36893.50000000;  4.900;  0.078;    297;  5.132;  4.900;    1; 29.240;  0.230;    297; 29.905; 29.156;    1 
200101021300; 36893.54166667;  5.179;  0.059;    277;  5.830;  5.086;    1; 29.991;  0.382;    277; 30.157; 25.544;    1 
200101021400; 36893.58333333;  4.995;  0.052;    297;  5.134;  4.948;    1; 29.582;  0.090;    297; 29.872; 29.499;    1 
200101021500; 36893.62500000;  4.810;  0.214;    297;  4.996;  4.347;    1; 29.043;  0.529;    297; 29.628; 27.983;    1 
200101021600; 36893.66666667;  4.255;  0.088;    297;  4.394;  4.117;    1; 27.730;  0.225;    297; 28.200; 27.472;    1 
200101021700; 36893.70833333;  3.840;  0.134;    296;  4.164;  3.702;    1; 26.753;  0.334;    296; 27.561; 26.386;    1 
200101021800; 36893.75000000;  3.795;  0.126;    297;  4.165;  3.749;    1; 26.560;  0.165;    297; 27.138; 26.390;    1 
200101021900; 36893.79166667;  3.796;  0.167;    297;  4.073;  3.565;    1; 26.565;  0.430;    297; 27.266; 25.998;    1 
200101022000; 36893.83333333;  4.028;  0.044;    297;  4.121;  3.936;    1; 27.063;  0.128;    297; 27.231; 26.756;    1 
200101022100; 36893.87500000;  4.307;  0.150;    297;  4.538;  4.122;    1; 27.514;  0.334;    297; 28.271; 27.029;    1 
200101022200; 36893.91666667;  4.446;  0.017;    296;  4.493;  4.446;    1; 27.602;  0.055;    296; 27.730; 27.435;    1 
200101022300; 36893.95833333;  4.586;  0.071;    297;  4.725;  4.494;    1; 27.907;  0.164;    297; 28.288; 27.490;    1 
200101030000; 36894.00000000;  4.726;  0.074;    297;  5.005;  4.680;    1; 28.293;  0.189;    297; 29.131; 28.166;    1 
200101030100; 36894.04166667;  5.191;  0.093;    297;  5.284;  4.959;    1; 29.551;  0.370;    297; 29.840; 28.638;    1 
200101030200; 36894.08333333;  5.239;  0.031;    297;  5.285;  5.192;    1; 29.803;  0.092;    297; 29.968; 29.473;    1 
200101030300; 36894.12500000;  5.333;  0.015;    296;  5.333;  5.286;    1; 30.014;  0.057;    296; 30.096; 29.808;    1 
200101030400; 36894.16666667;  5.242;  0.038;    297;  5.335;  5.195;    1; 29.689;  0.159;    297; 30.018; 29.234;    1 
200101030500; 36894.20833333;  5.103;  0.062;    297;  5.243;  5.011;    1; 29.032;  0.320;    297; 29.776; 28.492;    1 
200101030600; 36894.25000000;  5.104;  0.018;    297;  5.104;  5.058;    1; 28.622;  0.195;    297; 28.912; 28.170;    1 
200101030700; 36894.29166667;  4.850;  0.094;    296;  5.059;  4.781;    1; 28.664;  0.052;    296; 28.792; 28.578;    1 
200101030800; 36894.33333333;  4.828;  0.050;    297;  4.921;  4.782;    1; 28.916;  0.153;    297; 29.167; 28.623;    1 
200101030900; 36894.37500000;  5.107;  0.127;    297;  5.200;  4.922;    1; 29.547;  0.268;    297; 29.837; 29.089;    1 
200101031000; 36894.41666667;  5.201;  0.003;    297;  5.201;  5.155;    1; 29.758;  0.041;    297; 29.841; 29.593;    1 
200101031100; 36894.45833333;  5.202;  0.009;    297;  5.249;  5.202;    1; 29.763;  0.044;    297; 29.887; 29.680;    1 
200101031200; 36894.50000000;  5.389;  0.051;    296;  5.436;  5.250;    1; 30.138;  0.117;    296; 30.384; 29.892;    1 
200101031300; 36894.54166667;  5.437;  0.019;    297;  5.437;  5.390;    1; 30.224;  0.039;    297; 30.306; 30.101;    1 
200101031400; 36894.58333333;  5.484;  0.020;    297;  5.484;  5.438;    1; 30.269;  0.021;    297; 30.311; 30.229;    1 
