NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200301010100; 37622.04166667;  3.003;  0.036;    297;  3.049;  2.911;    1; 22.682;  0.146;    297; 22.821; 22.303;    1 
200301010200; 37622.08333333;  3.601;  0.401;    297;  4.062;  2.957;    1; 23.740;  0.887;    297; 24.787; 22.303;    1 
200301010300; 37622.12500000;  4.108;  0.040;    296;  4.154;  4.016;    1; 24.872;  0.107;    296; 25.052; 24.570;    1 
200301010400; 37622.16666667;  4.062;  0.371;    297;  4.709;  3.601;    1; 24.751;  1.091;    297; 27.118; 23.925;    1 
200301010500; 37622.20833333;  4.339;  0.222;    297;  4.755;  4.062;    1; 25.953;  0.681;    297; 27.202; 24.883;    1 
200301010600; 37622.25000000;  4.431;  0.093;    297;  4.616;  4.339;    1; 26.890;  0.209;    297; 27.238; 26.590;    1 
200301010700; 37622.29166667;  4.385;  0.103;    296;  4.801;  4.293;    1; 26.935;  0.298;    296; 28.046; 26.636;    1 
200301010800; 37622.33333333;  4.431;  0.182;    297;  4.848;  4.247;    1; 26.720;  0.504;    297; 28.214; 26.291;    1 
200301010900; 37622.37500000;  4.108;  0.232;    297;  4.478;  3.785;    1; 25.767;  0.653;    297; 26.850; 24.924;    1 
200301011000; 37622.41666667;  3.601;  0.113;    297;  3.785;  3.417;    1; 24.388;  0.311;    297; 25.009; 23.933;    1 
200301011100; 37622.45833333;  3.233;  0.133;    296;  3.417;  3.049;    1; 23.251;  0.431;    296; 24.019; 22.666;    1 
200301011200; 37622.50000000;  3.003;  0.027;    297;  3.049;  2.957;    1; 22.614;  0.089;    297; 22.752; 22.389;    1 
