NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  -1=No flag available, 1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
202001021700; 43832.70833333;  5.407;  0.079;      6;  5.545;  5.339;    1; 18.011;  3.262;      6; 24.261; 17.651;    1 
202001021800; 43832.75000000;  5.366;  0.054;      6;  5.455;  5.325;    1; 21.161;  1.883;      6; 22.781; 17.651;    1 
202001021900; 43832.79166667;  5.290;  0.036;      5;  5.332;  5.232;    1; 24.411;  1.888;      5; 24.481; 20.121;    1 
202001022000; 43832.83333333;  5.404;  0.034;      6;  5.431;  5.344;    1; 23.396;  1.644;      6; 24.941; 21.261;    1 
202001022100; 43832.87500000;  5.730;  0.160;      6;  5.861;  5.447;    1; 23.921;  1.960;      6; 25.621; 20.991;    1 
202001022200; 43832.91666667;  5.671;  0.056;      6;  5.753;  5.617;    1; 25.516;  0.250;      6; 25.841; 25.181;    1 
202001022300; 43832.95833333;  5.801;  0.025;      5;  5.839;  5.773;    1; 25.981;  0.114;      5; 26.081; 25.801;    1 
202001030000; 43833.00000000;  5.907;  0.166;      6;  6.286;  5.866;    1; 24.991;  3.391;      6; 26.631; 19.261;    1 
202001030100; 43833.04166667;  6.280;  0.069;      6;  6.409;  6.242;    1; 27.676;  2.648;      6; 28.511; 21.491;    1 
202001030200; 43833.08333333;  6.458;  0.068;      6;  6.500;  6.323;    1; 29.286;  2.264;      6; 29.561; 23.791;    1 
