NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
201401010100; 41640.04166667;  6.680;  0.050;    297;  6.820;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010200; 41640.08333333;  6.586;  0.055;    296;  6.726;  6.540;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010300; 41640.12500000;  6.726;  0.038;    297;  6.773;  6.586;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010400; 41640.16666667;  6.726;  0.029;    297;  6.773;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010500; 41640.20833333;  6.773;  0.026;    297;  6.820;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010600; 41640.25000000;  6.726;  0.028;    297;  6.773;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010700; 41640.29166667;  6.726;  0.027;    296;  6.773;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010800; 41640.33333333;  6.820;  0.080;    297;  7.007;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401010900; 41640.37500000;  7.007;  0.023;    297;  7.007;  6.913;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011000; 41640.41666667;  7.053;  0.026;    297;  7.100;  6.960;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011100; 41640.45833333;  6.960;  0.043;    297;  7.053;  6.866;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011200; 41640.50000000;  6.866;  0.043;    296;  6.960;  6.773;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011300; 41640.54166667;  6.773;  0.049;    297;  6.820;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011400; 41640.58333333;  6.680;  0.038;    297;  6.726;  6.586;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011500; 41640.62500000;  6.820;  0.033;    297;  6.866;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011600; 41640.66666667;  6.820;  0.020;    296;  6.820;  6.773;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011700; 41640.70833333;  6.820;  0.024;    297;  6.820;  6.726;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011800; 41640.75000000;  6.960;  0.065;    297;  7.007;  6.773;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401011900; 41640.79166667;  6.960;  0.035;    297;  7.007;  6.866;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401012000; 41640.83333333;  6.913;  0.027;    297;  6.960;  6.820;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401012100; 41640.87500000;  7.007;  0.036;    296;  7.100;  6.913;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401012200; 41640.91666667;  7.100;  0.028;    297;  7.147;  7.007;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401012300; 41640.95833333;  7.147;  0.027;    297;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020000; 41641.00000000;  7.100;  0.031;    297;  7.147;  7.007;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020100; 41641.04166667;  6.866;  0.091;    297;  7.053;  6.726;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020200; 41641.08333333;  6.680;  0.055;    296;  6.820;  6.586;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020300; 41641.12500000;  6.633;  0.036;    297;  6.726;  6.540;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020400; 41641.16666667;  6.726;  0.030;    297;  6.773;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020500; 41641.20833333;  6.773;  0.026;    297;  6.820;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020600; 41641.25000000;  6.773;  0.024;    297;  6.820;  6.726;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020700; 41641.29166667;  6.820;  0.040;    296;  6.913;  6.726;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020800; 41641.33333333;  6.866;  0.027;    297;  6.913;  6.820;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401020900; 41641.37500000;  7.007;  0.063;    297;  7.147;  6.866;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021000; 41641.41666667;  7.100;  0.029;    297;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021100; 41641.45833333;  7.147;  0.028;    297;  7.194;  7.100;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021200; 41641.50000000;  7.100;  0.026;    296;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021300; 41641.54166667;  7.100;  0.021;    297;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021400; 41641.58333333;  7.100;  0.019;    297;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021500; 41641.62500000;  6.820;  0.082;    297;  7.053;  6.726;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021600; 41641.66666667;  6.866;  0.026;    297;  6.913;  6.820;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021700; 41641.70833333;  6.960;  0.043;    296;  7.007;  6.866;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021800; 41641.75000000;  7.007;  0.020;    297;  7.007;  6.960;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401021900; 41641.79166667;  7.007;  0.023;    297;  7.007;  6.913;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401022000; 41641.83333333;  7.007;  0.023;    297;  7.053;  6.960;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401022100; 41641.87500000;  7.007;  0.038;    297;  7.100;  6.913;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401022200; 41641.91666667;  7.147;  0.027;    296;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401022300; 41641.95833333;  7.147;  0.028;    297;  7.147;  7.053;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030000; 41642.00000000;  7.007;  0.064;    297;  7.100;  6.866;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030100; 41642.04166667;  6.866;  0.031;    297;  6.913;  6.773;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030200; 41642.08333333;  6.773;  0.057;    297;  6.820;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030300; 41642.12500000;  6.633;  0.038;    296;  6.726;  6.540;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030400; 41642.16666667;  6.633;  0.034;    297;  6.726;  6.586;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030500; 41642.20833333;  6.680;  0.029;    297;  6.726;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030600; 41642.25000000;  6.726;  0.036;    297;  6.773;  6.633;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030700; 41642.29166667;  6.773;  0.035;    297;  6.820;  6.680;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
201401030800; 41642.33333333;  6.866;  0.048;    296;  6.960;  6.773;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
