NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200601010100; 38718.04166667;  4.909;  0.148;    296;  5.094;  4.631;    1; 28.869;  0.365;    296; 29.249; 28.058;    1 
200601010200; 38718.08333333;  4.446;  0.082;    297;  4.631;  4.354;    1; 27.710;  0.177;    297; 28.098; 27.450;    1 
200601010300; 38718.12500000;  4.446;  0.080;    297;  4.585;  4.354;    1; 27.965;  0.199;    297; 28.352; 27.620;    1 
200601010400; 38718.16666667;  4.724;  0.052;    297;  4.770;  4.585;    1; 28.569;  0.089;    297; 28.696; 28.183;    1 
200601010500; 38718.20833333;  5.326;  0.302;    297;  5.511;  4.724;    1; 30.044;  0.661;    297; 30.291; 28.569;    1 
200601010600; 38718.25000000;  5.511;  0.026;    296;  5.558;  5.465;    1; 30.041;  0.730;    296; 30.374; 26.860;    1 
200601010700; 38718.29166667;  5.743;  0.212;    297;  6.022;  5.511;    1; 30.985;  1.042;    297; 31.389; 26.778;    1 
200601010800; 38718.33333333;  6.162;  0.141;    297;  6.395;  6.022;    1; 31.713;  0.324;    297; 32.186; 31.141;    1 
200601010900; 38718.37500000;  6.348;  0.096;    297;  6.441;  6.022;    1; 32.111;  0.264;    297; 32.350; 31.136;    1 
200601011000; 38718.41666667;  6.302;  0.023;    297;  6.348;  6.302;    1; 32.111;  0.079;    297; 32.231; 31.865;    1 
200601011100; 38718.45833333;  6.208;  0.084;    296;  6.302;  5.929;    1; 31.707;  0.222;    296; 31.992; 31.020;    1 
200601011200; 38718.50000000;  5.372;  0.268;    297;  5.929;  5.048;    1; 29.751;  0.577;    297; 30.981; 29.081;    1 
200601011300; 38718.54166667;  4.955;  0.055;    297;  5.048;  4.909;    1; 28.910;  0.126;    297; 29.207; 28.742;    1 
200601011400; 38718.58333333;  4.955;  0.064;    297;  5.048;  4.816;    1; 28.826;  0.156;    297; 29.164; 28.403;    1 
200601011500; 38718.62500000;  4.400;  0.144;    297;  4.816;  4.261;    1; 27.880;  0.198;    297; 28.403; 27.614;    1 
200601011600; 38718.66666667;  4.677;  0.089;    296;  4.724;  4.446;    1; 28.483;  0.154;    296; 28.609; 28.049;    1 
200601011700; 38718.70833333;  5.001;  0.230;    297;  5.326;  4.724;    1; 29.375;  0.538;    297; 29.919; 28.528;    1 
200601011800; 38718.75000000;  5.187;  0.065;    297;  5.372;  5.140;    1; 29.501;  0.487;    297; 29.877; 27.250;    1 
200601011900; 38718.79166667;  5.697;  0.213;    297;  5.929;  5.140;    1; 30.744;  0.427;    297; 31.312; 29.375;    1 
200601012000; 38718.83333333;  6.069;  0.089;    297;  6.302;  5.976;    1; 31.466;  0.262;    297; 31.909; 30.357;    1 
200601012100; 38718.87500000;  6.348;  0.032;    297;  6.395;  6.255;    1; 31.902;  0.193;    297; 32.029; 31.039;    1 
200601012200; 38718.91666667;  6.162;  0.092;    296;  6.395;  6.162;    1; 31.587;  0.201;    296; 32.067; 31.340;    1 
200601012300; 38718.95833333;  5.836;  0.259;    297;  6.208;  5.465;    1; 30.452;  0.653;    297; 31.625; 29.333;    1 
200601020000; 38719.00000000;  5.233;  0.126;    234;  5.465;  5.048;    1; 29.459;  0.443;    234; 30.083; 27.787;    1 
200601020100; 38719.04166667;  5.048;  0.035;    297;  5.094;  5.001;    1; 28.997;  0.050;    297; 29.123; 28.912;    1 
200601020200; 38719.08333333;  4.862;  0.234;    248;  5.048;  4.308;    1; 28.530;  0.495;    248; 28.955; 27.365;    1 
200601020300; 38719.12500000;  4.238;  0.305;    296;  4.816;  4.031;    1; 27.274;  0.564;    296; 28.528; 26.957;    1 
200601020400; 38719.16666667;  3.892;  0.157;    297;  4.446;  3.800;    1; 27.075;  0.151;    297; 27.795; 26.895;    1 
200601020500; 38719.20833333;  4.169;  0.069;    297;  4.261;  3.985;    1; 27.523;  0.098;    297; 27.784; 27.385;    1 
200601020600; 38719.25000000;  4.539;  0.216;    297;  5.001;  4.261;    1; 28.223;  0.409;    297; 29.080; 27.745;    1 
200601020700; 38719.29166667;  5.094;  0.035;    296;  5.140;  5.001;    1; 29.165;  0.081;    296; 29.333; 28.955;    1 
200601020800; 38719.33333333;  5.279;  0.143;    297;  5.418;  5.001;    1; 29.709;  0.313;    297; 30.001; 28.955;    1 
200601020900; 38719.37500000;  5.465;  0.069;    297;  5.651;  5.372;    1; 30.167;  0.144;    297; 30.498; 29.916;    1 
200601021000; 38719.41666667;  5.651;  0.078;    297;  5.743;  5.511;    1; 30.618;  0.202;    297; 30.990; 30.165;    1 
200601021100; 38719.45833333;  5.465;  0.086;    297;  5.651;  5.372;    1; 30.042;  0.216;    297; 30.578; 29.667;    1 
200601021200; 38719.50000000;  4.886;  0.206;    296;  5.418;  4.539;    1; 28.783;  0.431;    296; 29.959; 28.014;    1 
200601021300; 38719.54166667;  4.400;  0.061;    282;  4.585;  4.354;    1; 27.665;  0.354;    282; 28.054; 24.058;    1 
200601021400; 38719.58333333;  4.353;  0.017;    297;  4.400;  4.353;    1; 27.534;  0.035;    297; 27.619; 27.449;    1 
200601021500; 38719.62500000;  4.307;  0.095;    297;  4.399;  4.076;    1; 27.448;  0.153;    297; 27.743; 26.932;    1 
200601021600; 38719.66666667;  3.707;  0.243;    297;  4.306;  3.523;    1; 26.625;  0.409;    297; 27.611; 26.261;    1 
200601021700; 38719.70833333;  3.845;  0.098;    296;  3.937;  3.568;    1; 26.899;  0.162;    296; 27.117; 26.395;    1 
200601021800; 38719.75000000;  4.306;  0.312;    297;  4.814;  3.937;    1; 27.654;  0.544;    297; 28.482; 26.991;    1 
200601021900; 38719.79166667;  4.768;  0.031;    297;  4.814;  4.721;    1; 28.353;  0.078;    297; 28.481; 28.140;    1 
200601022000; 38719.83333333;  5.555;  0.328;    297;  5.648;  4.767;    1; 29.989;  0.643;    297; 30.115; 28.311;    1 
200601022100; 38719.87500000;  5.647;  0.186;    297;  6.159;  5.601;    1; 30.154;  0.574;    297; 31.661; 29.988;    1 
200601022200; 38719.91666667;  6.112;  0.099;    297;  6.252;  5.833;    1; 31.577;  0.299;    297; 31.945; 30.598;    1 
200601022300; 38719.95833333;  6.018;  0.265;    296;  6.251;  5.507;    1; 31.401;  0.549;    296; 31.944; 30.364;    1 
200601030000; 38720.00000000;  5.229;  0.190;    297;  5.507;  4.812;    1; 29.867;  0.434;    297; 30.406; 28.856;    1 
200601030100; 38720.04166667;  4.580;  0.115;    297;  4.812;  4.442;    1; 28.340;  0.214;    297; 28.981; 28.167;    1 
200601030200; 38720.08333333;  4.303;  0.083;    297;  4.441;  4.164;    1; 28.072;  0.094;    297; 28.206; 27.811;    1 
200601030300; 38720.12500000;  3.933;  0.112;    296;  4.164;  3.795;    1; 27.450;  0.296;    296; 27.850; 26.928;    1 
200601030400; 38720.16666667;  3.702;  0.046;    297;  3.795;  3.610;    1; 26.785;  0.120;    297; 26.966; 26.518;    1 
200601030500; 38720.20833333;  3.518;  0.115;    297;  3.840;  3.426;    1; 26.335;  0.225;    297; 27.097; 26.151;    1 
200601030600; 38720.25000000;  3.656;  0.031;    297;  3.702;  3.610;    1; 26.650;  0.036;    297; 26.736; 26.516;    1 
200601030700; 38720.29166667;  4.486;  0.326;    297;  4.624;  3.701;    1; 28.076;  0.549;    297; 28.293; 26.696;    1 
200601030800; 38720.33333333;  4.531;  0.094;    296;  4.763;  4.393;    1; 28.079;  0.231;    296; 28.677; 27.731;    1 
200601030900; 38720.37500000;  4.947;  0.109;    297;  5.272;  4.762;    1; 29.101;  0.299;    297; 30.025; 28.635;    1 
200601031000; 38720.41666667;  4.669;  0.183;    297;  5.318;  4.669;    1; 28.588;  0.372;    297; 30.149; 28.425;    1 
200601031100; 38720.45833333;  5.086;  0.185;    297;  5.225;  4.623;    1; 29.395;  0.377;    297; 29.898; 28.502;    1 
200601031200; 38720.50000000;  5.131;  0.093;    297;  5.271;  5.039;    1; 29.561;  0.220;    297; 29.979; 29.310;    1 
200601031300; 38720.54166667;  5.085;  0.149;    296;  5.085;  4.576;    1; 29.309;  0.367;    296; 29.392; 28.118;    1 
200601031400; 38720.58333333;  4.298;  0.086;    297;  4.575;  4.252;    1; 27.679;  0.176;    297; 28.198; 27.418;    1 
200601031500; 38720.62500000;  4.113;  0.085;    297;  4.252;  3.975;    1; 27.024;  0.233;    297; 27.457; 26.713;    1 
200601031600; 38720.66666667;  3.974;  0.026;    297;  4.020;  3.882;    1; 26.798;  0.084;    297; 27.055; 26.533;    1 
200601031700; 38720.70833333;  3.744;  0.070;    297;  3.882;  3.605;    1; 26.342;  0.128;    297; 26.609; 26.074;    1 
200601031800; 38720.75000000;  3.881;  0.042;    297;  3.974;  3.835;    1; 26.616;  0.112;    297; 26.881; 26.531;    1 
200601031900; 38720.79166667;  4.573;  0.161;    296;  4.620;  3.973;    1; 28.068;  0.315;    296; 28.197; 26.795;    1 
200601032000; 38720.83333333;  4.851;  0.245;    297;  5.407;  4.573;    1; 28.624;  0.550;    297; 29.761; 27.898;    1 
200601032100; 38720.87500000;  5.638;  0.129;    297;  5.824;  5.360;    1; 30.296;  0.270;    297; 30.621; 29.551;    1 
200601032200; 38720.91666667;  5.684;  0.120;    297;  5.824;  5.499;    1; 30.507;  0.124;    297; 30.750; 30.212;    1 
200601032300; 38720.95833333;  6.009;  0.270;    297;  6.242;  5.405;    1; 31.615;  0.578;    297; 32.122; 29.924;    1 
200601040000; 38721.00000000;  6.195;  0.052;    240;  6.242;  6.055;    1; 31.919;  0.122;    240; 32.001; 31.557;    1 
200601040100; 38721.04166667;  5.544;  0.323;    297;  6.148;  5.219;    1; 30.418;  0.715;    297; 31.759; 29.590;    1 
200601040200; 38721.08333333;  4.802;  0.126;    297;  5.219;  4.756;    1; 28.871;  0.261;    297; 29.673; 28.659;    1 
200601040300; 38721.12500000;  4.663;  0.153;    297;  4.755;  4.247;    1; 28.527;  0.351;    297; 28.699; 27.621;    1 
200601040400; 38721.16666667;  4.108;  0.071;    296;  4.247;  3.970;    1; 27.477;  0.121;    296; 27.825; 27.128;    1 
200601040500; 38721.20833333;  3.831;  0.095;    297;  3.969;  3.647;    1; 26.730;  0.273;    297; 27.166; 26.282;    1 
200601040600; 38721.25000000;  3.646;  0.079;    297;  3.831;  3.554;    1; 26.281;  0.189;    297; 26.814; 26.060;    1 
200601040700; 38721.29166667;  3.876;  0.053;    297;  4.015;  3.784;    1; 26.689;  0.094;    297; 27.000; 26.556;    1 
200601040800; 38721.33333333;  4.476;  0.194;    297;  4.615;  4.014;    1; 28.010;  0.465;    297; 28.393; 26.999;    1 
200601040900; 38721.37500000;  4.383;  0.074;    296;  4.522;  4.337;    1; 27.915;  0.114;    296; 28.474; 27.665;    1 
200601041000; 38721.41666667;  5.123;  0.152;    297;  5.262;  4.475;    1; 29.581;  0.266;    297; 29.957; 28.558;    1 
200601041100; 38721.45833333;  5.262;  0.211;    297;  5.355;  4.752;    1; 29.914;  0.497;    297; 30.165; 28.568;    1 
200601041200; 38721.50000000;  5.261;  0.121;    297;  5.401;  4.937;    1; 29.871;  0.342;    297; 30.245; 28.990;    1 
200601041300; 38721.54166667;  4.474;  0.217;    297;  4.937;  4.243;    1; 27.871;  0.550;    297; 29.030; 27.310;    1 
200601041400; 38721.58333333;  4.150;  0.076;    296;  4.243;  4.058;    1; 26.938;  0.244;    296; 27.394; 26.698;    1 
200601041500; 38721.62500000;  3.966;  0.068;    297;  4.058;  3.827;    1; 26.603;  0.167;    297; 26.736; 26.205;    1 
200601041600; 38721.66666667;  3.735;  0.053;    297;  3.827;  3.689;    1; 26.071;  0.082;    297; 26.290; 25.937;    1 
200601041700; 38721.70833333;  3.780;  0.089;    297;  3.873;  3.458;    1; 26.193;  0.137;    297; 26.336; 25.645;    1 
200601041800; 38721.75000000;  3.412;  0.101;    297;  3.596;  3.274;    1; 25.595;  0.235;    297; 26.048; 25.188;    1 
200601041900; 38721.79166667;  3.642;  0.110;    297;  3.918;  3.549;    1; 26.095;  0.219;    297; 26.638; 25.827;    1 
200601042000; 38721.83333333;  4.379;  0.161;    296;  4.471;  3.918;    1; 27.694;  0.368;    296; 27.909; 26.551;    1 
200601042100; 38721.87500000;  4.564;  0.073;    297;  4.748;  4.425;    1; 28.211;  0.207;    297; 28.809; 27.868;    1 
200601042200; 38721.91666667;  4.887;  0.205;    297;  5.350;  4.702;    1; 29.232;  0.610;    297; 30.529; 28.429;    1 
200601042300; 38721.95833333;  5.443;  0.045;    297;  5.489;  5.304;    1; 30.442;  0.103;    297; 30.649; 30.069;    1 
200601050000; 38722.00000000;  5.489;  0.135;    296;  5.767;  5.303;    1; 30.684;  0.325;    296; 31.385; 30.109;    1 
200601050100; 38722.04166667;  5.071;  0.295;    297;  5.303;  4.377;    1; 29.608;  0.677;    297; 30.234; 28.073;    1 
200601050200; 38722.08333333;  3.961;  0.146;    297;  4.377;  3.915;    1; 27.191;  0.297;    297; 28.113; 27.106;    1 
200601050300; 38722.12500000;  3.685;  0.115;    297;  3.915;  3.500;    1; 26.604;  0.237;    297; 27.144; 26.115;    1 
200601050400; 38722.16666667;  3.362;  0.067;    297;  3.500;  3.270;    1; 25.920;  0.140;    297; 26.287; 25.746;    1 
200601050500; 38722.20833333;  3.086;  0.077;    296;  3.270;  2.994;    1; 25.498;  0.114;    296; 25.783; 25.361;    1 
200601050600; 38722.25000000;  2.948;  0.035;    297;  2.994;  2.902;    1; 25.348;  0.068;    297; 25.435; 25.210;    1 
200601050700; 38722.29166667;  2.947;  0.085;    297;  3.131;  2.901;    1; 25.322;  0.096;    297; 25.471; 25.135;    1 
200601050800; 38722.33333333;  3.085;  0.023;    297;  3.131;  3.085;    1; 25.458;  0.043;    297; 25.545; 25.371;    1 
