NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200701010100; 39083.04166667;  8.002;  0.016;    297;  8.002;  7.955;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010200; 39083.08333333;  7.955;  0.023;    297;  7.955;  7.908;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010300; 39083.12500000;  7.908;  0.022;    296;  7.955;  7.908;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010400; 39083.16666667;  7.908;  0.007;    297;  7.955;  7.908;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010500; 39083.20833333;  7.908;  0.017;    297;  7.908;  7.861;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010600; 39083.25000000;  7.861;  0.022;    297;  7.908;  7.814;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010700; 39083.29166667;  7.767;  0.029;    296;  7.814;  7.721;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010800; 39083.33333333;  7.721;  0.020;    297;  7.767;  7.721;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701010900; 39083.37500000;  7.721;  0.031;    297;  7.767;  7.674;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701011000; 39083.41666667;  7.627;  0.038;    297;  7.674;  7.580;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701011100; 39083.45833333;  7.674;  0.090;    297;  7.861;  7.627;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701011200; 39083.50000000;  7.861;  0.024;    296;  7.908;  7.814;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701011300; 39083.54166667;  7.861;  0.005;    297;  7.908;  7.814;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
200701011400; 39083.58333333;  7.861;  0.000;    297;  7.861;  7.861;    1;    NaN;    NaN;    NaN;    NaN;    NaN;    9 
