NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.
Intervals of 60 minutes 
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC
ET = excel decimal time 
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
T_std = standard deviation of temperature within the interval 
T_N = number of data points for temperature within the interval 
T_max = maximum temperature within the interval 
T_min = minimum temperature within the interval 
T_flag = quality flag 
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)
S_std = standard deviation of salinity within the interval 
S_N = number of data points for salinity within the interval 
S_max = maximum salinity within the interval 
S_min = minimum salinity within the interval 
S_flag = quality flag 
Temperature in [degrees Celsius], Salinity in [PSU] 
Quality flags:  1=OK, 2=corrected values (OK), 3=manual discard, 4=variability discard, 5=outlier discard, 8=cleaning period, 9=missing (value indicates ranking) 

TM;ET;T;T_std;T_N;T_max;T_min;T_flag;S;S_std;S_N;S_max;S_min;S_flag 
200401010100; 37987.04166667;  5.517;  0.055;    297;  5.656;  5.424;    1; 28.805;  0.173;    297; 29.512; 28.634;    1 
200401010200; 37987.08333333;  5.610;  0.050;    296;  5.796;  5.564;    1; 29.387;  0.110;    296; 29.763; 29.222;    1 
200401010300; 37987.12500000;  5.610;  0.040;    297;  5.703;  5.564;    1; 29.469;  0.085;    297; 29.638; 29.343;    1 
200401010400; 37987.16666667;  5.610;  0.025;    297;  5.656;  5.564;    1; 29.387;  0.026;    297; 29.469; 29.343;    1 
200401010500; 37987.20833333;  5.378;  0.134;    297;  5.564;  5.193;    1; 28.964;  0.353;    297; 29.426; 28.327;    1 
200401010600; 37987.25000000;  5.100;  0.065;    296;  5.193;  4.961;    1; 28.237;  0.156;    296; 28.448; 27.896;    1 
200401010700; 37987.29166667;  4.869;  0.068;    297;  4.961;  4.776;    1; 27.508;  0.389;    297; 28.017; 26.748;    1 
200401010800; 37987.33333333;  4.776;  0.023;    297;  4.822;  4.730;    1; 26.664;  0.062;    297; 26.867; 26.581;    1 
200401010900; 37987.37500000;  4.730;  0.034;    297;  4.776;  4.637;    1; 26.700;  0.054;    297; 26.783; 26.617;    1 
200401011000; 37987.41666667;  4.730;  0.033;    297;  4.776;  4.684;    1; 26.819;  0.027;    297; 26.867; 26.748;    1 
200401011100; 37987.45833333;  4.730;  0.026;    297;  4.776;  4.684;    1; 26.867;  0.032;    297; 26.903; 26.783;    1 
200401011200; 37987.50000000;  4.730;  0.081;    296;  4.869;  4.637;    1; 26.950;  0.144;    296; 27.258; 26.867;    1 
200401011300; 37987.54166667;  4.869;  0.027;    297;  4.915;  4.822;    1; 27.341;  0.036;    297; 27.388; 27.258;    1 
200401011400; 37987.58333333;  4.915;  0.033;    297;  4.961;  4.869;    1; 27.508;  0.107;    297; 27.767; 27.341;    1 
200401011500; 37987.62500000;  5.007;  0.042;    297;  5.100;  4.961;    1; 27.896;  0.128;    297; 28.154; 27.730;    1 
200401011600; 37987.66666667;  5.054;  0.042;    296;  5.146;  5.007;    1; 28.108;  0.127;    296; 28.403; 28.025;    1 
200401011700; 37987.70833333;  5.100;  0.072;    297;  5.146;  4.869;    1; 28.320;  0.067;    297; 28.403; 28.092;    1 
200401011800; 37987.75000000;  4.869;  0.041;    297;  4.915;  4.730;    1; 27.925;  0.304;    297; 28.221; 26.867;    1 
200401011900; 37987.79166667;  4.684;  0.030;    297;  4.730;  4.637;    1; 26.402;  0.194;    297; 27.200; 26.319;    1 
200401012000; 37987.83333333;  4.591;  0.021;    297;  4.637;  4.591;    1; 26.389;  0.017;    297; 26.389; 26.306;    1 
200401012100; 37987.87500000;  4.545;  0.047;    297;  4.591;  4.453;    1; 26.389;  0.210;    297; 26.508; 25.742;    1 
200401012200; 37987.91666667;  4.406;  0.027;    296;  4.499;  4.406;    1; 25.526;  0.082;    296; 25.791; 25.492;    1 
200401012300; 37987.95833333;  4.545;  0.026;    297;  4.591;  4.499;    1; 26.007;  0.092;    297; 26.091; 25.708;    1 
200401020000; 37988.00000000;  5.378;  0.260;    296;  5.471;  4.545;    1; 29.124;  0.936;    296; 29.504; 26.007;    1 
200401020100; 37988.04166667;  5.471;  0.148;    297;  5.656;  5.193;    1; 29.504;  0.389;    297; 30.007; 28.742;    1 
200401020200; 37988.08333333;  5.100;  0.045;    297;  5.193;  5.007;    1; 28.691;  0.222;    297; 28.819; 27.859;    1 
200401020300; 37988.12500000;  5.054;  0.279;    296;  5.842;  5.054;    1; 28.774;  0.644;    296; 30.463; 28.691;    1 
200401020400; 37988.16666667;  5.935;  0.059;    297;  6.028;  5.842;    1; 30.505;  0.092;    297; 30.630; 30.218;    1 
200401020500; 37988.20833333;  5.517;  0.133;    297;  5.889;  5.332;    1; 29.796;  0.179;    297; 30.383; 29.539;    1 
200401020600; 37988.25000000;  4.776;  0.176;    297;  5.332;  4.637;    1; 28.167;  0.511;    297; 29.539; 27.441;    1 
200401020700; 37988.29166667;  4.545;  0.079;    297;  4.637;  4.360;    1; 26.760;  0.492;    297; 27.441; 25.811;    1 
200401020800; 37988.33333333;  4.314;  0.040;    296;  4.360;  4.222;    1; 25.797;  0.071;    296; 25.930; 25.495;    1 
200401020900; 37988.37500000;  4.129;  0.033;    297;  4.222;  4.083;    1; 25.564;  0.051;    297; 25.598; 25.445;    1 
200401021000; 37988.41666667;  4.037;  0.064;    297;  4.083;  3.853;    1; 25.498;  0.583;    297; 25.632; 23.910;    1 
200401021100; 37988.45833333;  3.853;  0.042;    297;  3.991;  3.807;    1; 22.902;  0.734;    297; 25.244; 22.513;    1 
200401021200; 37988.50000000;  3.945;  0.058;    297;  4.037;  3.807;    1; 22.643;  0.228;    297; 22.977; 22.286;    1 
200401021300; 37988.54166667;  4.037;  0.080;    296;  4.268;  4.037;    1; 23.197;  0.563;    296; 24.624; 22.946;    1 
200401021400; 37988.58333333;  4.406;  0.181;    297;  4.822;  4.268;    1; 25.325;  0.818;    297; 27.211; 24.540;    1 
200401021500; 37988.62500000;  4.453;  0.078;    297;  4.684;  4.360;    1; 25.777;  0.257;    297; 26.438; 25.526;    1 
200401021600; 37988.66666667;  5.007;  0.281;    297;  5.378;  4.453;    1; 28.191;  0.892;    297; 29.290; 26.042;    1 
200401021700; 37988.70833333;  4.383;  0.365;    296;  5.007;  4.083;    1; 25.895;  1.529;    296; 28.312; 24.504;    1 
200401021800; 37988.75000000;  4.129;  0.047;    297;  4.222;  4.037;    1; 24.471;  0.234;    297; 24.774; 23.918;    1 
200401021900; 37988.79166667;  4.083;  0.068;    297;  4.129;  3.853;    1; 24.504;  0.152;    297; 24.756; 24.046;    1 
200401022000; 37988.83333333;  3.807;  0.023;    297;  3.899;  3.761;    1; 24.163;  0.195;    297; 24.754; 23.994;    1 
200401022100; 37988.87500000;  3.853;  0.033;    297;  3.899;  3.761;    1; 24.923;  0.059;    297; 25.008; 24.669;    1 
